% PlotTitle: "Multiantenna Matching"
% X axis: "Frequency [GHz]"
% Y axis: "Efficiency and S parameters [dB]"
"Frequency [GHz]"	"S11"	"Efficiency 1"
2,924	-0,237053	-13,8664
2,928	-0,241215	-13,7751
2,932	-0,245594	-13,6809
2,936	-0,250202	-13,5838
2,94	-0,255055	-13,484
2,944	-0,260155	-13,3814
2,948	-0,265513	-13,276
2,952	-0,27114	-13,168
2,956	-0,27705	-13,0573
2,96	-0,283308	-12,944
2,964	-0,289882	-12,8281
2,968	-0,296784	-12,7096
2,972	-0,304031	-12,5886
2,976	-0,311641	-12,465
2,98	-0,319643	-12,3389
2,984	-0,328055	-12,2101
2,988	-0,336901	-12,079
2,992	-0,346206	-11,9453
2,996	-0,355997	-11,8092
3	-0,366356	-11,6705
3,004	-0,377262	-11,5293
3,008	-0,38874	-11,3857
3,012	-0,400822	-11,2397
3,016	-0,413543	-11,0913
3,02	-0,426937	-10,9406
3,024	-0,441046	-10,7877
3,028	-0,455902	-10,6327
3,032	-0,471545	-10,4756
3,036	-0,488016	-10,3166
3,04	-0,505406	-10,1561
3,044	-0,523714	-9,99372
3,048	-0,542975	-9,82978
3,052	-0,563232	-9,66438
3,056	-0,584526	-9,49768
3,06	-0,606898	-9,32986
3,064	-0,630387	-9,16111
3,068	-0,655025	-8,99168
3,072	-0,680831	-8,82185
3,076	-0,707822	-8,65193
3,08	-0,736061	-8,48229
3,084	-0,765494	-8,31324
3,088	-0,796071	-8,14554
3,092	-0,827759	-7,97944
3,096	-0,860508	-7,81527
3,1	-0,894244	-7,6535
3,104	-0,928875	-7,49458
3,108	-0,964295	-7,33898
3,112	-1,00037	-7,18715
3,116	-1,03696	-7,03948
3,12	-1,07396	-6,89636
3,124	-1,11121	-6,75806
3,128	-1,14854	-6,62475
3,132	-1,18581	-6,4966
3,136	-1,22287	-6,37385
3,14	-1,25958	-6,2567
3,144	-1,29591	-6,14464
3,148	-1,33181	-6,03751
3,152	-1,36724	-5,9351
3,156	-1,40217	-5,83716
3,16	-1,43661	-5,74348
3,164	-1,47056	-5,65383
3,168	-1,50399	-5,56796
3,172	-1,53687	-5,48572
3,176	-1,56912	-5,40707
3,18	-1,60066	-5,33201
3,184	-1,63134	-5,26068
3,188	-1,66084	-5,19385
3,192	-1,689	-5,13144
3,196	-1,71547	-5,07389
3,2	-1,73984	-5,02184
3,204	-1,76162	-4,97612
3,208	-1,78021	-4,93761
3,212	-1,79499	-4,90729
3,216	-1,80527	-4,88626
3,22	-1,81038	-4,87567
3,224	-1,8097	-4,87666
3,228	-1,80269	-4,89031
3,232	-1,78896	-4,91761
3,236	-1,76826	-4,95962
3,24	-1,74059	-5,01703
3,244	-1,70621	-5,08999
3,248	-1,6656	-5,17866
3,252	-1,61936	-5,28293
3,256	-1,56829	-5,40244
3,26	-1,51326	-5,53663
3,264	-1,45524	-5,6847
3,268	-1,39516	-5,84575
3,272	-1,33393	-6,01871
3,276	-1,2724	-6,20242
3,28	-1,21127	-6,39575
3,284	-1,15115	-6,59752
3,288	-1,09266	-6,80663
3,292	-1,03612	-7,02183
3,296	-0,981825	-7,24191
3,3	-0,929982	-7,46579
3,304	-0,880741	-7,69237
3,308	-0,834172	-7,92067
3,312	-0,790319	-8,14965
3,316	-0,749173	-8,37836
3,32	-0,710684	-8,60594
3,324	-0,674774	-8,83154
3,328	-0,641339	-9,05449
3,332	-0,610279	-9,27414
3,336	-0,581521	-9,48993
3,34	-0,554887	-9,70145
