#GJM0335C0J270JB01,,
#In Production,,
#2026/06/21,,
#l,,
#DC0V 25degC,,
Frequency[Hz],Inductance[H],
7.492E9,3.345890595789664E-10,
7.513E9,3.3625900461597277E-10,
7.534E9,3.379229353729825E-10,
7.555E9,3.395734559580341E-10,
7.576E9,3.4120163776844945E-10,
7.597E9,3.4279676053098185E-10,
7.618E9,3.4434602120602515E-10,
7.639E9,3.4583421200824033E-10,
7.66E9,3.472433719086373E-10,
7.681E9,3.485524206316431E-10,
7.702E9,3.4973679082617987E-10,
7.723E9,3.507680832908231E-10,
7.744E9,3.5161378234037765E-10,
7.765E9,3.5223708387441874E-10,
7.786E9,3.5259690722095427E-10,
7.807E9,3.526481822493785E-10,
7.828E9,3.523425229748083E-10,
7.849E9,3.516294131863969E-10,
7.87E9,3.5045803112917103E-10,
7.891E9,3.487798188254781E-10,
7.912E9,3.465518454287921E-10,
7.933E9,3.4374091247268937E-10,
7.954E9,3.403281979407337E-10,
7.975E9,3.363140454855057E-10,
7.996E9,3.3172230556150504E-10,
8.017E9,3.2660348086356413E-10,
8.038E9,3.2103588909013157E-10,
8.059E9,3.1512419540291773E-10,
8.08E9,3.08995010438758E-10,
8.101E9,3.0278975525771235E-10,
8.122E9,2.9665554625156567E-10,
8.143E9,2.9073529126964043E-10,
8.164E9,2.85158370700766E-10,
8.185E9,2.8003314151198E-10,
8.206E9,2.754420949182916E-10,
8.227E9,2.71439953272732E-10,
8.248E9,2.68054470205436E-10,
8.269E9,2.6528932541997166E-10,
8.29E9,2.6312833554609893E-10,
8.311E9,2.615402183146857E-10,
8.332E9,2.6048328893971776E-10,
8.353E9,2.59909664333999E-10,
8.374E9,2.5976874529749687E-10,
8.395E9,2.600099048274319E-10,
8.416E9,2.605844196957583E-10,
8.437E9,2.6144674490249633E-10,
8.458E9,2.6255525654350065E-10,
8.479E9,2.638725898950267E-10,
8.5E9,2.653656866007865E-10,
